,Fonte,Sexo,Local,Taxa de desocupação,Nível da ocupação,Participação,Renda habitual total,Renda habitual principal,Renda efetiva total,Renda efetiva principal
51,2° Tri. 2017,,Nordeste,15.95,46.91,55.81,2159.25,2076.57,2134.66,2053.85
52,2° Tri. 2017,Homem,Nordeste,14.35,57.45,67.08,2295.82,2211.75,2263.59,2181.31
53,2° Tri. 2017,Mulher,Nordeste,18.12,37.21,45.44,1958.97,1878.33,1945.6,1866.93
54,3° Tri. 2017,,Brasil,12.51,55.21,63.11,3148.09,3053.85,3169.6,3079.72
55,3° Tri. 2017,Homem,Brasil,10.94,65.46,73.5,3493.67,3390.81,3506.87,3409.83
56,3° Tri. 2017,Mulher,Brasil,14.52,45.65,53.4,2674.84,2592.34,2707.74,2627.6
57,3° Tri. 2017,,Ceará,11.93,49.01,55.64,2082.42,2029.31,2085.21,2033.04
58,3° Tri. 2017,Homem,Ceará,11.93,58.46,66.38,2227.64,2169.97,2203.33,2149.21
59,3° Tri. 2017,Mulher,Ceará,11.93,40.17,45.61,1879.83,1833.09,1920.44,1870.98
60,3° Tri. 2017,,Nordeste,14.96,47.46,55.81,2128.45,2039.9,2129.54,2043.11
61,3° Tri. 2017,Homem,Nordeste,13.77,57.96,67.22,2266.67,2174.45,2259.02,2170.18
62,3° Tri. 2017,Mulher,Nordeste,16.59,37.82,45.34,1927.27,1844.05,1941.09,1858.14
63,4° Tri. 2017,,Brasil,11.88,55.62,63.12,3173.02,3069.63,3276.88,3176.67
64,4° Tri. 2017,Homem,Brasil,10.43,65.88,73.54,3529.3,3408.97,3632.91,3517.8
65,4° Tri. 2017,Mulher,Brasil,13.75,46.06,53.4,2686.97,2606.56,2791.16,2711.18
66,4° Tri. 2017,,Ceará,11.2,50.86,57.28,2151.52,2101.51,2197.2,2148.99
67,4° Tri. 2017,Homem,Ceará,10.45,61.24,68.39,2311.5,2255.23,2356.9,2302.43
68,4° Tri. 2017,Mulher,Ceará,12.23,41.19,46.93,1922.99,1881.93,1969.06,1929.81
69,4° Tri. 2017,,Nordeste,13.97,48.18,56.01,2194.61,2106.38,2223.87,2137.02
70,4° Tri. 2017,Homem,Nordeste,12.76,59.01,67.64,2348.73,2254.71,2371.09,2278.94
71,4° Tri. 2017,Mulher,Nordeste,15.64,38.21,45.29,1968.28,1888.48,2007.67,1928.55
72,1° Tri. 2018,,Brasil,13.23,54.66,62.99,3196.31,3101.25,3505.77,3411.04
73,1° Tri. 2018,Homem,Brasil,11.56,64.91,73.4,3544.42,3438.51,3862.19,3758.13
74,1° Tri. 2018,Mulher,Brasil,15.37,45.09,53.27,2718.35,2638.13,3016.41,2934.42
75,1° Tri. 2018,,Ceará,12.93,49.63,57.0,2123.81,2080.39,2283.21,2239.59
76,1° Tri. 2018,Homem,Ceará,11.5,60.67,68.55,2275.72,2225.96,2412.99,2364.01
77,1° Tri. 2018,Mulher,Ceará,14.93,39.28,46.18,1897.76,1863.7,2090.08,2054.39
78,1° Tri. 2018,,Nordeste,16.04,46.78,55.72,2203.57,2123.55,2372.0,2289.64
79,1° Tri. 2018,Homem,Nordeste,14.65,57.38,67.22,2357.04,2278.15,2504.08,2424.67
80,1° Tri. 2018,Mulher,Nordeste,17.96,36.99,45.08,1977.09,1895.41,2177.08,2090.38
81,2° Tri. 2018,,Brasil,12.55,54.85,62.72,3203.01,3100.61,3209.36,3110.98
82,2° Tri. 2018,Homem,Brasil,10.98,64.96,72.97,3558.44,3446.64,3568.42,3462.82
83,2° Tri. 2018,Mulher,Brasil,14.56,45.42,53.16,2719.31,2629.55,2720.71,2632.02
84,2° Tri. 2018,,Ceará,11.82,49.41,56.03,2167.67,2107.56,2155.48,2094.75
85,2° Tri. 2018,Homem,Ceará,11.02,59.93,67.35,2321.77,2265.1,2306.03,2250.01
86,2° Tri. 2018,Mulher,Ceará,12.92,39.63,45.51,1945.12,1879.91,1938.06,1870.41
87,2° Tri. 2018,,Nordeste,15.0,46.74,54.99,2202.79,2111.85,2189.24,2101.77
88,2° Tri. 2018,Homem,Nordeste,13.87,57.02,66.2,2346.22,2259.04,2320.76,2238.47
89,2° Tri. 2018,Mulher,Nordeste,16.57,37.22,44.61,1993.46,1896.94,1997.29,1902.17
90,3° Tri. 2018,,Brasil,12.0,55.57,63.15,3192.14,3096.44,3212.74,3119.88
91,3° Tri. 2018,Homem,Brasil,10.42,65.74,73.39,3526.98,3423.66,3543.97,3445.15
92,3° Tri. 2018,Mulher,Brasil,14.02,46.08,53.6,2737.1,2651.7,2762.6,2677.79
93,3° Tri. 2018,,Ceará,10.75,50.98,57.12,2232.07,2170.0,2258.46,2195.37
94,3° Tri. 2018,Homem,Ceará,10.02,61.23,68.04,2472.61,2402.34,2499.29,2431.24
95,3° Tri. 2018,Mulher,Ceará,11.71,41.59,47.1,1899.75,1848.88,1925.76,1869.37
96,3° Tri. 2018,,Nordeste,14.58,47.79,55.94,2201.83,2120.48,2203.04,2122.03
97,3° Tri. 2018,Homem,Nordeste,13.3,58.09,67.0,2326.6,2244.87,2327.89,2246.21
98,3° Tri. 2018,Mulher,Nordeste,16.31,38.27,45.73,2021.9,1941.06,2022.98,1942.93
99,4° Tri. 2018,,Brasil,11.7,55.78,63.17,3215.78,3111.94,3317.48,3216.29
