,Fonte,Sexo,Local,Taxa de desocupação,Nível da ocupação,Participação,Renda habitual total,Renda habitual principal,Renda efetiva total,Renda efetiva principal
257,1° Tri. 2023,Mulher,Ceará,9.97,37.31,41.45,1947.95,1860.45,2083.52,1995.28
258,1° Tri. 2023,,Nordeste,12.25,46.91,53.46,2177.07,2088.67,2320.98,2229.49
259,1° Tri. 2023,Homem,Nordeste,10.3,57.9,64.54,2266.4,2181.11,2400.79,2314.03
260,1° Tri. 2023,Mulher,Nordeste,14.91,36.89,43.35,2046.26,1953.31,2204.1,2105.69
261,2° Tri. 2023,,Brasil,8.03,56.6,61.54,3202.75,3110.13,3224.19,3133.56
262,2° Tri. 2023,Homem,Brasil,6.84,66.67,71.57,3506.02,3408.24,3534.67,3439.01
263,2° Tri. 2023,Mulher,Brasil,9.54,47.22,52.2,2798.17,2712.32,2810.0,2725.98
264,2° Tri. 2023,,Ceará,8.63,47.42,51.9,2188.6,2095.27,2152.57,2062.95
265,2° Tri. 2023,Homem,Ceará,7.79,58.37,63.3,2308.13,2199.1,2280.26,2175.19
266,2° Tri. 2023,Mulher,Ceará,9.82,37.39,41.46,2016.2,1945.44,1968.38,1900.98
267,2° Tri. 2023,,Nordeste,11.34,47.45,53.52,2161.26,2083.0,2136.93,2063.15
268,2° Tri. 2023,Homem,Nordeste,9.71,58.37,64.65,2263.19,2186.27,2233.9,2162.55
269,2° Tri. 2023,Mulher,Nordeste,13.55,37.47,43.34,2013.19,1932.93,1996.06,1918.7
270,3° Tri. 2023,,Brasil,7.68,57.01,61.76,3255.16,3166.8,3289.64,3203.23
271,3° Tri. 2023,Homem,Brasil,6.41,67.24,71.84,3565.4,3472.38,3605.06,3514.53
272,3° Tri. 2023,Mulher,Brasil,9.31,47.49,52.37,2840.53,2758.31,2868.09,2787.09
273,3° Tri. 2023,,Ceará,9.17,48.56,53.46,2093.74,2051.33,2185.62,2144.15
274,3° Tri. 2023,Homem,Ceará,8.03,59.86,65.08,2208.79,2168.99,2316.16,2277.58
275,3° Tri. 2023,Mulher,Ceará,10.75,38.22,42.82,1926.26,1880.0,1995.59,1949.86
276,3° Tri. 2023,,Nordeste,10.85,48.35,54.23,2169.68,2092.47,2181.46,2105.26
277,3° Tri. 2023,Homem,Nordeste,9.1,59.38,65.32,2272.15,2196.28,2279.28,2204.72
278,3° Tri. 2023,Mulher,Nordeste,13.21,38.31,44.14,2022.31,1943.06,2040.79,1962.12
279,4° Tri. 2023,,Brasil,7.41,57.56,62.16,3280.77,3189.57,3392.53,3302.43
280,4° Tri. 2023,Homem,Brasil,6.02,67.83,72.18,3601.91,3502.25,3716.38,3618.86
281,4° Tri. 2023,Mulher,Brasil,9.18,47.99,52.83,2853.15,2773.22,2961.29,2881.08
282,4° Tri. 2023,,Ceará,8.76,48.71,53.38,2153.89,2097.08,2126.38,2069.31
283,4° Tri. 2023,Homem,Ceará,7.46,60.3,65.16,2275.47,2203.71,2217.19,2145.32
284,4° Tri. 2023,Mulher,Ceará,10.54,38.31,42.82,1980.33,1944.83,1996.74,1960.79
285,4° Tri. 2023,,Nordeste,10.47,48.41,54.07,2195.76,2117.34,2226.87,2148.73
286,4° Tri. 2023,Homem,Nordeste,8.71,59.64,65.33,2310.09,2233.27,2323.38,2247.79
287,4° Tri. 2023,Mulher,Nordeste,12.84,38.26,43.9,2031.99,1951.26,2088.64,2006.83
288,1° Tri. 2024,,Brasil,7.92,57.0,61.9,3328.99,3233.28,3636.62,3538.23
289,1° Tri. 2024,Homem,Brasil,6.46,67.39,72.04,3643.75,3545.63,3969.1,3869.8
290,1° Tri. 2024,Mulher,Brasil,9.79,47.33,52.46,2906.74,2814.24,3190.59,3093.42
291,1° Tri. 2024,,Ceará,8.68,47.1,51.57,2113.94,2086.07,2230.4,2203.1
292,1° Tri. 2024,Homem,Ceará,7.44,58.56,63.27,2257.89,2228.43,2372.71,2344.6
293,1° Tri. 2024,Mulher,Ceará,10.38,36.83,41.1,1907.43,1881.84,2026.24,2000.11
294,1° Tri. 2024,,Nordeste,11.14,47.81,53.8,2230.91,2156.53,2401.98,2323.41
295,1° Tri. 2024,Homem,Nordeste,9.0,59.25,65.11,2329.19,2264.7,2485.77,2418.51
296,1° Tri. 2024,Mulher,Nordeste,14.01,37.52,43.63,2088.78,2000.03,2280.79,2185.84
297,2° Tri. 2024,,Brasil,6.89,57.81,62.09,3386.09,3281.42,3417.82,3314.41
298,2° Tri. 2024,Homem,Brasil,5.62,68.12,72.17,3721.14,3611.61,3761.67,3652.78
299,2° Tri. 2024,Mulher,Brasil,8.51,48.22,52.71,2940.31,2842.02,2960.32,2864.1
300,2° Tri. 2024,,Ceará,7.5,47.66,51.52,2264.64,2208.89,2276.29,2217.93
301,2° Tri. 2024,Homem,Ceará,6.65,58.45,62.61,2414.16,2362.85,2436.79,2378.37
302,2° Tri. 2024,Mulher,Ceará,8.67,37.88,41.47,2053.78,1991.73,2049.96,1991.64
303,2° Tri. 2024,,Nordeste,9.43,48.81,53.89,2342.31,2256.24,2334.91,2249.52
304,2° Tri. 2024,Homem,Nordeste,7.83,60.22,65.33,2456.07,2378.59,2444.52,2367.32
305,2° Tri. 2024,Mulher,Nordeste,11.6,38.51,43.57,2179.36,2080.97,2177.88,2080.78
306,3° Tri. 2024,,Brasil,6.35,58.38,62.34,3373.2,3274.89,3425.04,3328.88
307,3° Tri. 2024,Homem,Brasil,5.32,68.56,72.41,3724.13,3619.58,3781.88,3680.91
308,3° Tri. 2024,Mulher,Brasil,7.67,48.91,52.97,2909.8,2819.65,2953.84,2863.94
309,3° Tri. 2024,,Ceará,6.68,48.9,52.4,2181.75,2125.84,2209.25,2153.68
310,3° Tri. 2024,Homem,Ceará,6.04,59.6,63.43,2271.4,2224.1,2293.31,2248.04
311,3° Tri. 2024,Mulher,Ceará,7.55,39.15,42.34,2055.56,1987.45,2090.93,2020.78
312,3° Tri. 2024,,Nordeste,8.69,49.87,54.61,2306.07,2218.3,2324.96,2237.94
313,3° Tri. 2024,Homem,Nordeste,7.3,61.07,65.88,2414.15,2331.95,2426.4,2346.26
314,3° Tri. 2024,Mulher,Nordeste,10.54,39.77,44.45,2153.85,2058.18,2182.1,2085.33
315,4° Tri. 2024,,Brasil,6.16,58.72,62.57,3419.96,3317.98,3554.0,3452.64
316,4° Tri. 2024,Homem,Brasil,5.07,68.89,72.57,3765.36,3656.35,3898.69,3791.53
317,4° Tri. 2024,Mulher,Brasil,7.54,49.25,53.26,2965.2,2872.43,3100.17,3006.4
318,4° Tri. 2024,,Ceará,6.5,48.38,51.74,2215.9,2159.13,2279.69,2223.73
319,4° Tri. 2024,Homem,Ceará,5.62,59.08,62.6,2321.34,2253.07,2387.06,2319.78
320,4° Tri. 2024,Mulher,Ceará,7.68,38.78,42.0,2070.33,2029.35,2131.46,2091.05
321,4° Tri. 2024,,Nordeste,8.66,50.33,55.1,2349.97,2263.91,2428.02,2339.83
322,4° Tri. 2024,Homem,Nordeste,7.11,61.52,66.23,2482.98,2398.28,2555.72,2471.23
323,4° Tri. 2024,Mulher,Nordeste,10.72,40.22,45.05,2163.57,2075.55,2249.05,2155.63
324,1° Tri. 2025,,Brasil,7.0,57.84,62.2,3459.85,3366.55,3779.89,3686.15
325,1° Tri. 2025,Homem,Brasil,5.67,68.08,72.17,3788.59,3687.82,4127.82,4029.24
326,1° Tri. 2025,Mulher,Brasil,8.69,48.32,52.92,3023.9,2940.5,3318.5,3231.16
327,1° Tri. 2025,,Ceará,8.0,46.55,50.6,2282.27,2220.26,2414.75,2353.48
328,1° Tri. 2025,Homem,Ceará,7.08,56.44,60.74,2414.59,2342.18,2546.96,2477.52
329,1° Tri. 2025,Mulher,Ceará,9.2,37.73,41.55,2103.74,2055.65,2236.38,2186.0
330,1° Tri. 2025,,Nordeste,9.88,48.7,54.04,2406.44,2318.36,2587.76,2494.92
331,1° Tri. 2025,Homem,Nordeste,7.93,59.84,65.0,2541.4,2448.78,2718.59,2624.73
332,1° Tri. 2025,Mulher,Nordeste,12.47,38.66,44.17,2215.09,2133.42,2402.25,2310.85
333,2° Tri. 2025,,Brasil,5.76,58.78,62.37,3496.98,3388.31,3516.76,3411.95
334,2° Tri. 2025,Homem,Brasil,4.84,68.79,72.28,3847.81,3727.47,3875.64,3758.87
335,2° Tri. 2025,Mulher,Brasil,6.92,49.46,53.14,3037.85,2944.38,3047.11,2957.86
336,2° Tri. 2025,,Ceará,6.56,48.57,51.98,2341.46,2253.91,2342.38,2253.95
337,2° Tri. 2025,Homem,Ceará,6.06,59.12,62.93,2488.66,2394.08,2485.12,2387.61
338,2° Tri. 2025,Mulher,Ceará,7.23,39.2,42.25,2141.97,2063.96,2148.94,2072.81
339,2° Tri. 2025,,Nordeste,8.23,50.0,54.49,2416.8,2323.24,2406.61,2314.94
340,2° Tri. 2025,Homem,Nordeste,6.96,60.85,65.41,2577.61,2480.31,2571.69,2474.99
341,2° Tri. 2025,Mulher,Nordeste,9.91,40.22,44.64,2194.4,2105.91,2178.3,2093.49
342,3° Tri. 2025,,Brasil,5.57,58.73,62.2,3506.54,3406.33,3540.06,3442.88
343,3° Tri. 2025,Homem,Brasil,4.54,68.97,72.25,3844.36,3734.94,3880.91,3775.44
344,3° Tri. 2025,Mulher,Brasil,6.88,49.2,52.84,3060.77,2972.67,3090.3,3004.01
345,3° Tri. 2025,,Ceará,6.44,49.35,52.75,2352.4,2270.4,2374.82,2296.07
346,3° Tri. 2025,Homem,Ceará,5.48,60.56,64.07,2469.35,2389.43,2482.66,2407.81
347,3° Tri. 2025,Mulher,Ceará,7.74,39.3,42.59,2189.22,2104.28,2224.37,2140.13
348,3° Tri. 2025,,Nordeste,7.84,50.5,54.79,2437.87,2338.24,2447.33,2351.72
349,3° Tri. 2025,Homem,Nordeste,6.35,61.76,65.95,2560.5,2460.57,2567.22,2472.01
350,3° Tri. 2025,Mulher,Nordeste,9.83,40.32,44.72,2265.71,2166.5,2279.03,2182.83
